"","Nest_ID","merge_group","ID","Video_ID","Behavior","DateTimeBegin","DateTimeEnd","HowLeft","RecessCause","Comments_Notes","Who_Entered","Date_Entered","Double_Checked_Who","Double_Checked_Date","Date_Double_Checked","prev_beh","prev_vid","prev_end","merge_with_prev","n_rows_merged","year","found_day","species","habitat","fws_steel_band.x","eggs_max","fate","fate_day","eggs_hatched","ducklings_min","predator","camera_nest","camera_type","camera_start","camera_end","camera_fate","camera_days","camera_exposure","inc_late","inc_mean","inc_median","inc_early","inc_hatch","inc_firsthatch","found_laying","init_laying","init_mean","init_median","init_hatch","init_firsthatch","found_status","eggs_depredated","eggs_inviable","Species","Fate_video","Fate_Dep_Species_video","Min_Number_Ducklings_video","capture_date","capture_datetime","release_datetime","age","mass","wing_chord","flattened_wing","culmen","nares_distal","nares_proximal","tarsus_total","tarsus_diagonal","head","primary_ninth","transmitter","DurationSecs","NextDateTimeBegin","TimeToNextVidSecs","Time_Diff_Mins","Fate_video_simple","Fate_combined","DurationMins","Fate_simple","DurationDays","inc_init_final","inc_init_tier","doy","day_since_init","day_since_init_int"
"1","11-AJW002",1,21446,"11-AJW002_1","I-Incubating",2011-07-01 23:41:11,2011-07-02 01:53:11,"NotRecorded","NotApplicable",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-14,NA,NA,NA,NA,FALSE,1,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7920,2011-07-02 07:20:37,15,-327.183333333333,"Depredated","Depredated",132,"Failed",0.0916666666666667,182.5,"floating_mean",182,-0.5,-1
"2","11-AJW002",2,20531,"11-AJW002_1","N-NotIncubating",2011-07-02 01:53:26,2011-07-02 03:02:56,"NotRecorded","O",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-14,NA,"I-Incubating","11-AJW002_1",2011-07-02 07:20:22,FALSE,1,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4170,2011-07-02 08:30:22,15,-327.183333333333,"Depredated","Depredated",69.5,"Failed",0.0482638888888889,182.5,"floating_mean",183,0.5,0
"3","11-AJW002",3,21340,"11-AJW002_1","I-Incubating",2011-07-02 03:03:11,2011-07-02 05:11:56,"NotRecorded","NotApplicable",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-14,NA,"N-NotIncubating","11-AJW002_1",2011-07-02 08:30:07,FALSE,1,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7725,2011-07-02 10:39:22,15,-327.183333333333,"Depredated","Depredated",128.75,"Failed",0.0894097222222222,182.5,"floating_mean",183,0.5,0
"4","11-AJW002",4,20532,"11-AJW002_1","N-NotIncubating",2011-07-02 05:12:11,2011-07-02 06:26:41,"NotRecorded","O",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-14,NA,"I-Incubating","11-AJW002_1",2011-07-02 10:39:07,FALSE,1,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4470,2011-07-02 11:54:07,15,-327.183333333333,"Depredated","Depredated",74.5,"Failed",0.0517361111111111,182.5,"floating_mean",183,0.5,0
"5","11-AJW002",5,21341,"11-AJW002_1","I-Incubating",2011-07-02 06:26:56,2011-07-02 12:24:26,"NotRecorded","NotApplicable",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-14,NA,"N-NotIncubating","11-AJW002_1",2011-07-02 11:53:52,FALSE,1,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21450,2011-07-02 17:51:52,15,-327.183333333333,"Depredated","Depredated",357.5,"Failed",0.248263888888889,182.5,"floating_mean",183,0.5,0
"6","11-AJW002",6,20533,"11-AJW002_1","N-NotIncubating",2011-07-02 12:24:41,2011-07-02 13:03:41,"NotRecorded","O","18:33:37-20:53:52 missing time due to sun/fog and hen returened at some point","Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-14,NA,"I-Incubating","11-AJW002_1",2011-07-02 17:51:37,FALSE,1,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2340,2011-07-02 18:31:07,15,-327.183333333333,"Depredated","Depredated",39,"Failed",0.0270833333333333,182.5,"floating_mean",183,0.5,0
"7","11-AJW002",7,22131,"11-AJW002_1","U-Unviewable",2011-07-02 13:03:56,2011-07-02 15:33:41,"NotApplicable","NotApplicable","White screen due to sun in camera, hen took break before and returned at some point during whiteout.","Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-14,NA,"N-NotIncubating","11-AJW002_1",2011-07-02 18:30:52,FALSE,1,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8985,2011-07-02 21:01:07,15,-327.183333333333,"Depredated","Depredated",149.75,"Failed",0.103993055555556,182.5,"floating_mean",183,0.5,0
"8","11-AJW002",8,25749,"11-AJW002_1","I-Incubating",2011-07-02 15:33:56,2011-07-02 17:36:41,NA,"NotApplicable",NA,"AMM",2020-09-14,NA,NA,NA,"U-Unviewable","11-AJW002_1",2011-07-02 21:00:52,FALSE,1,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7365,2011-07-02 23:04:07,15,-327.183333333333,"Depredated","Depredated",122.75,"Failed",0.0852430555555556,182.5,"floating_mean",183,0.5,0
"9","11-AJW002",9,25750,"11-AJW002_1","N-NotIncubating",2011-07-02 17:36:56,2011-07-02 18:24:26,NA,"O",NA,"AMM",2020-09-14,NA,NA,NA,"I-Incubating","11-AJW002_1",2011-07-02 23:03:52,FALSE,1,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2850,2011-07-02 23:51:52,15,-327.183333333333,"Depredated","Depredated",47.5,"Failed",0.0329861111111111,182.5,"floating_mean",183,0.5,0
"10","11-AJW002",10,25751,"11-AJW002_1","I-Incubating",2011-07-02 18:24:41,2011-07-03 00:43:26,NA,"NotApplicable",NA,"AMM",2020-09-14,NA,NA,NA,"N-NotIncubating","11-AJW002_1",2011-07-02 23:51:37,FALSE,1,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22725,2011-07-03 06:10:52,15,-327.183333333333,"Depredated","Depredated",378.75,"Failed",0.263020833333333,182.5,"floating_mean",183,0.5,0
